Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.71071320654166E-07,1.24074703998625E-17,-8.40087960733809E-19,0,0,0,0.0110925597603563,1.39920510272198E-06,6.03598608368132E-22,2.70201401925188E-21,9.49230299056441E-07,-8.48228743085689E-23,9.49230299056441E-07,0,0,0,0,0,0,package://Mecanum-Left/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/base_link.STL,,Left Mecanum Wheel Rim-1;Mecanum Hub-1;Left Mecanum Wheel Rim-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Mecanum_roller_link_1,4.19537259525784E-05,-9.19403442267708E-17,-4.5102810375397E-17,0,0,0,0.00104310145784987,9.96758957260103E-09,8.47860127866853E-24,-4.54949336904165E-24,3.79225492604175E-08,3.30872245021211E-24,3.79225492604176E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_1.STL,,MecanumRollerBearing-9/Mecanum Roller-1,Origin_Mecanum_roller_joint_1,Axis_Mecanum_roller_joint_1,Mecanum_roller_joint_1,continuous,0.00012912,0.014344,0.0095825,-2.7656,0.6249,2.6298,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_2,-4.19537259514885E-05,-2.77555756156289E-17,-9.71445146547012E-17,0,0,0,0.00104310145784987,9.96758957260103E-09,1.68021061924834E-24,-5.37667398159468E-24,3.79225492604175E-08,-1.03397576569128E-25,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_2.STL,,MecanumRollerBearing-10/Mecanum Roller-1,Origin_Mecanum_roller_joint_2,Axis_Mecanum_roller_joint_2,Mecanum_roller_joint_2,continuous,-0.00012933,0.0045802,0.016631,1.6775,-0.19406,-0.76608,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_3,-4.19537259517232E-05,6.24500451351651E-17,-1.45716771982052E-16,0,0,0,0.00104310145784987,9.96758957260103E-09,4.39439700418796E-24,-8.27180612553028E-25,3.79225492604175E-08,-1.65436122510606E-24,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_3.STL,,MecanumRollerBearing-5/Mecanum Roller-1,Origin_Mecanum_roller_joint_3,Axis_Mecanum_roller_joint_3,Mecanum_roller_joint_3,continuous,0.00012912,-0.006946,0.01579,1.4846,0.29377,-0.73958,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_4,-4.19537259518845E-05,9.54097911787244E-17,-5.03069808033274E-17,0,0,0,0.00104310145784987,9.9675895729459E-09,-5.11818004017186E-24,2.68833699079734E-24,3.79225492606102E-08,-8.27180612553028E-25,3.79225492606102E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_4.STL,,MecanumRollerBearing-2/Mecanum Roller-1,Origin_Mecanum_roller_joint_4,Axis_Mecanum_roller_joint_4,Mecanum_roller_joint_4,continuous,0.00012912,-0.015471,0.0076312,1.4497,0.68992,-0.41086,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_5,4.1659597956364E-05,1.04950770296597E-16,1.38777878078145E-17,0,0,0,0.00104310145784987,9.96758957260103E-09,3.87740912134232E-25,-2.1713491079517E-24,3.79225492604175E-08,2.06795153138257E-25,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_5.STL,,MecanumRollerBearing-8/Mecanum Roller-1,Origin_Mecanum_roller_joint_5,Axis_Mecanum_roller_joint_5,Mecanum_roller_joint_5,continuous,0.00012912,-0.016757,-0.0040986,1.6948,0.7554,0.24013,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_6,-4.19537259515289E-05,6.93889390390723E-18,1.73472347597681E-18,0,0,0,0.00104310145784984,9.96758957158561E-09,-6.04875822929401E-24,-1.15805285757424E-23,3.79225492599098E-08,8.27180612553028E-25,3.79225492599098E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_6.STL,,MecanumRollerBearing-7/Mecanum Roller-1,Origin_Mecanum_roller_joint_6,Axis_Mecanum_roller_joint_6,Mecanum_roller_joint_6,continuous,0.00012912,-0.010202,-0.013911,1.7524,0.42673,0.68129,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_7,-4.19537259513104E-05,6.24500451351651E-17,4.16333634234434E-17,0,0,0,0.00104310145784987,9.96758957260102E-09,-3.30872245021211E-24,-1.03397576569128E-24,3.79225492604175E-08,2.48154183765908E-24,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_7.STL,,MecanumRollerBearing-4/Mecanum Roller-1,Origin_Mecanum_roller_joint_7,Axis_Mecanum_roller_joint_7,Mecanum_roller_joint_7,continuous,0.00012912,0.0011266,-0.017214,2.5112,-0.051481,0.78407,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_8,4.16595979570254E-05,-8.67361737988404E-18,-6.93889390390723E-18,0,0,0,0.00104310145784987,9.96758957226301E-09,-4.23930063933427E-24,-3.30872245021211E-24,3.79225492602485E-08,-4.13590306276514E-25,3.79225492602485E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_8.STL,,MecanumRollerBearing-3/Mecanum Roller-1,Origin_Mecanum_roller_joint_8,Axis_Mecanum_roller_joint_8,Mecanum_roller_joint_8,continuous,-0.00012933,0.012113,-0.012282,-1.7252,-0.51523,0.6222,base_link,1,0,0,,,,,,,,,,,,
Mecanum_roller_link_9,-4.19537259509657E-05,8.02309607639273E-17,-1.04083408558608E-17,0,0,0,0.00104310145784987,9.96758957260103E-09,-3.36042123849667E-25,2.99852972050473E-24,3.79225492604175E-08,-4.13590306276514E-25,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Left/meshes/Mecanum_roller_link_9.STL,,MecanumRollerBearing-6/Mecanum Roller-1,Origin_Mecanum_roller_joint_9,Axis_Mecanum_roller_joint_9,Mecanum_roller_joint_9,continuous,0.00012912,0.017148,-0.0018797,1.5575,-0.78024,0.10117,base_link,1,0,0,,,,,,,,,,,,
