Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.10817,-0.040063,0.025145,0,0,0,0.05,9.7277E-07,9.1161E-08,-4.1554E-08,1.3023E-06,-1.6094E-07,1.0226E-06,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/base_link.STL,,Left Mecanum Wheel Rim-1;Mecanum Hub-1;Left Mecanum Wheel Rim-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_1,-7.0777E-16,-1.3878E-17,1.3878E-17,0,0,0,0.0010431,9.9676E-09,-4.808E-24,4.6529E-24,3.7923E-08,1.6544E-24,3.7923E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_1.STL,,Mecanum Roller-1,Coordinate System1 <Mecanum Roller-1>,Axis1 <Mecanum Roller-1>,Mecanum_Roller_1,continuous,-0.11966,-0.035473,-0.032381,1.8424,0.79911,2.8513,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_2,-7.0082828429463E-16,0,0,0,0,0,0.00104310145784987,9.96758957260103E-09,-5.27327640502555E-24,3.30872245021211E-24,3.79225492604175E-08,0,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_2.STL,,Mecanum Roller-2,Coordinate System1 <Mecanum Roller-2>,Axis1 <Mecanum Roller-2>,Mecanum_Roller_2,continuous,-0.12484,-0.025387,-0.035639,0.93857,1.116,2.1762,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_3,-7.14706072102445E-16,0,-3.46944695195361E-18,0,0,0,0.00104310145784987,9.96758957202997E-09,-3.6189151799195E-25,-1.4475660719678E-24,3.7922549260132E-08,2.48154183765908E-24,3.7922549260132E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_3.STL,,Mecanum Roller-9,Coordinate System1 <Mecanum Roller-9>,Axis1 <Mecanum Roller-9>,Mecanum_Roller_3,continuous,-0.12223,-0.015186,-0.040964,-1.0812,1.262,0.81029,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_4,-7.11236625150491E-16,-1.38777878078145E-17,3.46944695195361E-18,0,0,0,0.00104310145784987,9.96758957227009E-09,3.36042123849667E-25,1.03397576569128E-25,3.7922549260252E-08,-2.06795153138257E-24,3.7922549260252E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_4.STL,,Mecanum Roller-7,Coordinate System1 <Mecanum Roller-7>,Axis1 <Mecanum Roller-7>,Mecanum_Roller_4,continuous,-0.11304,-0.0096442,-0.045864,-1.6856,1.0243,-0.30784,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_5,-7.19910242530375E-16,6.93889390390723E-18,0,0,0,0,0.00104310145784987,9.9675895724821E-09,-2.06795153138257E-24,-1.4475660719678E-24,3.7922549260358E-08,4.13590306276514E-24,3.7922549260358E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_5.STL,,Mecanum Roller-5,Coordinate System1 <Mecanum Roller-5>,Axis1 <Mecanum Roller-5>,Mecanum_Roller_5,continuous,-0.10157,-0.011354,-0.048046,-1.2443,0.7067,-0.8985,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_6,-7.14706072102445E-16,3.46944695195361E-18,-1.38777878078145E-17,0,0,0,0.00104310145784987,9.96758957226301E-09,-2.8951321439356E-24,-6.37187565607254E-24,3.79225492602485E-08,2.49446653473022E-24,3.79225492602485E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_6.STL,,Mecanum Roller-6,Coordinate System1 <Mecanum Roller-6>,Axis1 <Mecanum Roller-6>,Mecanum_Roller_6,continuous,-0.093187,-0.019515,-0.04649,1.9354,0.44843,-1.3982,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_7,-7.21644966006352E-16,1.38777878078145E-17,0,0,0,0,0.00104310145784987,9.96758957190509E-09,3.51551760335037E-24,-2.27474668452083E-24,3.79225492600695E-08,2.48154183765908E-24,3.79225492600695E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_7.STL,,Mecanum Roller-8,Coordinate System1 <Mecanum Roller-8>,Axis1 <Mecanum Roller-8>,Mecanum_Roller_7,continuous,-0.091819,-0.030309,-0.041922,1.6796,0.31308,-1.9052,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_8,-7.21644966006352E-16,-4.33680868994202E-18,0,0,0,0,0.00104310145784984,9.9675895718047E-09,3.6189151799195E-25,-8.27180612553028E-25,3.79225492600194E-08,-2.68833699079734E-24,3.79225492600194E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_8.STL,,Mecanum Roller-3,Coordinate System1 <Mecanum Roller-3>,Axis1 <Mecanum Roller-3>,Mecanum_Roller_8,continuous,-0.098102,-0.038685,-0.036482,1.6992,0.33779,-2.4208,base_link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link_9,-6.93889390390723E-16,0,-3.46944695195361E-18,0,0,0,0.00104310145784987,9.96758957238194E-09,2.84343335565103E-24,6.82424005356248E-24,3.7922549260308E-08,-8.27180612553028E-25,3.7922549260308E-08,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Left.URDF/meshes/Mecanum_Roller_Link_9.STL,,Mecanum Roller-4,Coordinate System1 <Mecanum Roller-4>,Axis1 <Mecanum Roller-4>,Mecanum_Roller_9,continuous,-0.1091,-0.040725,-0.032714,1.9934,0.51534,-2.9227,base_link,-1,0,0,,,,,,,,,,,,
