Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Right_Base_Link,0.0046579,-6.9389E-18,-5.5836E-18,0,0,0,0.011093,1.3992E-06,8.9634E-22,2.6007E-21,9.4923E-07,-1.3524E-22,9.4923E-07,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Right_Base_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Right_Base_Link.STL,,Mecanum Hub-1;Right Mecanum Wheel Rim-2;Right Mecanum Wheel Rim-1,Coordinate System1 <Mecanum Hub-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Mecanum_Roller_Link1,-7.14706072102445E-16,0,0,0,0,0,0.00104310145784987,9.96758957260103E-09,4.75628852217991E-24,-2.48154183765908E-24,3.79225492604176E-08,0,3.79225492604175E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link1.STL,,Mecanum Roller-10,Coordinate System1 <Mecanum Roller-10>,Axis1 <Mecanum Roller-10>,Mecanum_Roller_1,continuous,0.0046501,-0.016264,-0.0057506,-2.4237,-0.72678,-0.32955,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link2,-7.07767178198537E-16,1.73472347597681E-18,-1.73472347597681E-18,0,0,0,0.00104310145784987,9.96758957260103E-09,3.72231275648862E-24,6.72084247699335E-24,3.79225492604175E-08,0,3.79225492604176E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link2.STL,,Mecanum Roller-8,Coordinate System1 <Mecanum Roller-8>,Axis1 <Mecanum Roller-8>,Mecanum_Roller_2,continuous,0.0046501,-0.0087625,-0.01486,-0.010439,-0.36137,-0.71372,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link3,-7.14706072102445E-16,-3.46944695195361E-18,6.93889390390723E-18,0,0,0,0.00104310145784987,9.96758957203706E-09,-1.24077091882954E-24,-1.65436122510606E-24,3.79225492601356E-08,4.13590306276514E-24,3.79225492601356E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link3.STL,,Mecanum Roller-9,Coordinate System1 <Mecanum Roller-9>,Axis1 <Mecanum Roller-9>,Mecanum_Roller_3,continuous,0.0046501,0.0028391,-0.017016,-1.9415,0.1231,-0.77774,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link4,-7.14706072102445E-16,-1.04083408558608E-17,0,0,0,0,0.00104310145784984,9.96758957238033E-09,1.24077091882954E-24,-1.4475660719678E-24,3.79225492603072E-08,-6.20385459414771E-24,3.79225492603072E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link4.STL,,Mecanum Roller-7,Coordinate System1 <Mecanum Roller-7>,Axis1 <Mecanum Roller-7>,Mecanum_Roller_4,continuous,0.0046501,0.013112,-0.01121,0.28164,0.57243,-0.57129,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link5,-7.11236625150491E-16,0,0,0,0,0,0.00104310145784987,9.96758957191813E-09,1.24077091882954E-24,-3.05022850878929E-24,3.79225492600558E-08,6.20385459414771E-24,3.79225492600558E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link5.STL,,Mecanum Roller-5,Coordinate System1 <Mecanum Roller-5>,Axis1 <Mecanum Roller-5>,Mecanum_Roller_5,continuous,0.0046501,0.01725,-0.00015879,-1.4136,0.7854,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link6,-7.12971348626468E-16,0,6.93889390390723E-18,0,0,0,0.00104310145784992,9.96758957237164E-09,5.09233064602958E-24,-3.30872245021211E-24,3.79225492603231E-08,-2.48154183765908E-24,3.79225492603231E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link6.STL,,Mecanum Roller-2,Coordinate System1 <Mecanum Roller-2>,Axis1 <Mecanum Roller-2>,Mecanum_Roller_6,continuous,0.0046501,0.013316,0.010966,0.94649,0.57243,0.57129,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link7,-7.19910242530375E-16,3.46944695195361E-18,6.93889390390723E-18,0,0,0,0.00104310145784987,9.96758957226301E-09,4.03250548619601E-24,-1.24077091882954E-24,3.79225492602485E-08,8.27180612553028E-25,3.79225492602485E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link7.STL,,Mecanum Roller-6,Coordinate System1 <Mecanum Roller-6>,Axis1 <Mecanum Roller-6>,Mecanum_Roller_7,continuous,0.0046501,0.0031518,0.01696,-1.7299,-0.1231,-2.3638,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link8,-7.09501901674514E-16,0,-3.46944695195361E-18,0,0,0,0.00104310145784982,9.96758957192888E-09,-1.24077091882954E-24,4.13590306276514E-25,3.79225492600814E-08,8.27180612553028E-25,3.79225492600814E-08,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link8.STL,,Mecanum Roller-11,Coordinate System1 <Mecanum Roller-11>,Axis1 <Mecanum Roller-11>,Mecanum_Roller_8,continuous,0.0046501,-0.0084875,0.015018,3.0507,-0.36137,0.71372,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link9.STL,1,1,1,1,0,0,0,0,0,0,package://Mecanum - Right.URDF/meshes/Mecanum_Roller_Link9.STL,,Mecanum Roller-4,Coordinate System1 <Mecanum Roller-4>,Axis1 <Mecanum Roller-4>,Mecanum_Roller_9,continuous,0.0046501,-0.016155,0.0060491,-2.859,0.72678,-2.812,Right_Base_Link,-1,0,0,,,,,,,,,,,,
