Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Right_Base_Link,0.00465786271618246,-6.93889390390723E-18,-5.85469173142172E-18,0,0,0,0.0110925597603562,1.39920510272198E-06,8.93287762618103E-22,2.59668373970243E-21,9.49230299056441E-07,-1.33751335600186E-22,9.49230299056441E-07,0,0,0,0,0,0,package://Mecanum-Right/meshes/Right_Base_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Right_Base_Link.STL,,Mecanum Hub-1;Right Mecanum Wheel Rim-2;Right Mecanum Wheel Rim-1,Coordinate System1 <Mecanum Hub-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Mecanum_Roller_Link1,0.0046501299257092,-0.0162640055968391,-0.0057506377756141,0,0,0,0.00104310145784987,2.39450694165093E-08,4.78057965954515E-09,-1.31345346665044E-08,3.62874947200801E-08,4.49227542915381E-09,2.55801239568466E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link1.STL,,Mecanum Roller-10,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_1,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link2,0.00465012992570909,-0.00876251240035445,-0.01485954539392,0,0,0,0.00104310145784987,2.39450694165094E-08,1.21048526257095E-08,-6.98873992195412E-09,2.74394393774863E-08,6.05242631285478E-09,3.44281792994405E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link2.STL,,Mecanum Roller-8,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_2,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link3,0.00465012992570885,0.00283905773273392,-0.0170155065769591,0,0,0,0.00104310145784987,2.39450694160864E-08,1.37651305179916E-08,2.42716390329539E-09,2.43665420047924E-08,-2.39028982979668E-09,3.75010766714294E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link3.STL,,Mecanum Roller-9,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_3,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link4,0.00465012992570855,0.013112201200064,-0.0112097231263478,0,0,0,0.00104310145784984,2.39450694163438E-08,8.98455085834306E-09,1.07073707632757E-08,3.21473912899657E-08,-6.88256525895356E-09,2.97202273866852E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link4.STL,,Mecanum Roller-7,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_4,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link5,0.00465012992570831,0.01725,-0.000158785642722778,0,0,0,0.00104310145784987,2.3945069415987E-08,1.66526240789793E-24,1.39774798440688E-08,3.79225492600558E-08,-1.81331197345348E-24,2.39450694159869E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link5.STL,,Mecanum Roller-5,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_5,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link6,0.0046501299257083,0.0133163320875407,0.0109664494078379,0,0,0,0.00104310145784992,2.39450694163474E-08,-8.98455085835093E-09,1.07073707632851E-08,3.21473912899766E-08,6.88256525895961E-09,2.97202273866939E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link6.STL,,Mecanum Roller-2,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_6,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link7,0.00465012992570951,0.00315180439677604,0.0169603609019619,0,0,0,0.00104310145784987,2.39450694162558E-08,-1.37651305179359E-08,2.4271639032856E-09,2.43665420049602E-08,2.39028982978704E-09,3.7501076671544E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link7.STL,,Mecanum Roller-6,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_7,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link8,0.00465012992570878,-0.00848748759964562,0.0150183310366431,0,0,0,0.00104310145784982,2.39450694160052E-08,-1.2104852625855E-08,-6.98873992203814E-09,2.74394393770242E-08,-6.05242631292753E-09,3.44281792990624E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link8.STL,,Mecanum Roller-11,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_8,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
Mecanum_Roller_Link9,0.00465012992571009,-0.0161553898202744,0.00604905716912235,0,0,0,0.00104310145784984,2.39450694163438E-08,-4.78057965956403E-09,-1.31345346665562E-08,3.62874947199633E-08,-4.49227542917155E-09,2.55801239566876E-08,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mecanum-Right/meshes/Mecanum_Roller_Link9.STL,,Mecanum Roller-4,Coordinate System1 <Mecanum Hub-1>,Axis1 <Mecanum Hub-1>,Mecanum_Roller_9,continuous,0,0,0,0,0,0,Right_Base_Link,-1,0,0,,,,,,,,,,,,
